Crude	PROD
Supply	O
.	O
There	O
are	O
many	O
different	O
types	O
of	O
crude	PROD
oil	PROD
processed	O
,	O
Light	PROD
,	O
but	O
also	O
very	O
heavy	PROD
oil	PROD
.	O
Azeri	PROD
crude	PROD
The	O
design	O
for	O
STAR	REF
Refinery	REF
will	O
enable	O
to	O
process	O
different	O
types	O
of	O
crude	PROD
oil	PROD
such	O
as	O
Urals	PROD
,	O
Azeri	PROD
Light	PROD
Crude	PROD
Oil	PROD
and	O
Kirkuk	PROD
.	O
The	REF
Refinery	REF
uses	O
domestic	O
Kumkol	OFI
Crude	PROD
Oil	PROD
from	O
the	O
Kumkol	OFI
Oil	OFI
Field	OFI
.	O
The	REF
refinery	REF
will	O
be	O
able	O
to	O
process	O
any	O
mixture	O
of	O
Basrah	REF
Regular	PROD
Crude	PROD
Oil	PROD
(	O
34ºAPI	O
)	O
and	O
Basrah	REF
Mishrif	REF
Crude	PROD
Oil	PROD
(	O
28ºAPI	O
)	O
It	O
processes	O
Saharan	PROD
Crude	PROD
Oil	PROD
piped	O
to	O
it	O
along	O
the	PIPE
Haoudh	PIPE
El	PIPE
Hamra-Arzew	PIPE
Oil	PIPE
Pipeline	PIPE
.	O
The	REF
refinery	REF
processes	O
local	PROD
Hassi	PROD
Messaoud	PROD
Crude	PROD
Oil	PROD
,	O
which	O
is	O
supplied	O
by	O
pipeline	PIPE
.	O
Crude	PROD
is	O
supplied	O
by	O
the	OFI
Hassi	OFI
Messaoud	OFI
Oil	OFI
Field	OFI
.	O
Local	PROD
Domestic	PROD
Crude	PROD
from	O
the	O
Touat	OFI
Oil	OFI
Field	OFI
.	O
The	PROD
crude	PROD
is	O
delivered	O
via	O
a	O
82.5	O
kilometers	O
of	O
crude	PIPE
oil	PIPE
pipeline	PIPE
.	O
The	REF
refinery	REF
processes	O
local	PROD
Angolan	PROD
crudes	PROD
from	O
mainly	O
Kwanza	REF
and	O
Palanca	REF
light	PROD
crude	PROD
oil	PROD
imported	O
from	O
Nigeria	O
,	O
Equatorial	O
Guinea	O
and	O
Angola	O
.	O
The	O
refinery	REF
currently	O
processes	O
a	O
mix	O
of	O
50	O
%	O
Sarir	O
Crude	PROD
Oil	PROD
&	O
50	O
%	O
Mesla	O
Crude	PROD
Oil	PROD
Domestic	O
Nigerian	O
crudes	PROD
.	O
Local	O
Nigerian	O
crudes	PROD
Heavy	PROD
Crude	PROD
Oil	PROD
Crude	PROD
is	O
supplied	O
from	O
the	O
Middle	O
East	O
,	O
Africa	O
and	O
Europe	O
.	O
Oil	PROD
is	O
discharged	O
by	O
tankers	O
at	O
the	O
single	O
buoy	O
mooring	O
(	O
SBM	O
)	O
,	O
about	O
2.5	O
kilometres	O
off	O
the	O
coast	O
near	O
Prospecton	O
and	O
enters	O
The	REF
refinery	REF
through	O
an	O
underground	O
pipeline	PIPE
.	O
Local	O
Sudan	O
crude	PROD
.	O
The	REF
refinery	REF
processes	O
crude	PROD
oils	PROD
from	O
the	O
Belli	O
,	O
al-Manzah	O
and	O
other	O
local	OFI
fields	OFI
.	O
Crude	PROD
is	O
recieved	O
at	O
a	O
terminal	O
in	O
Dar-es-Salaam	O
(	O
Tanzania	O
)	O
,	O
and	O
delivered	O
to	O
The	REF
refinery	REF
by	O
the	PIPE
TAZAMA	PIPE
Pipeline	PIPE
.	O
ERL	O
processes	O
mainly	O
two	O
types	O
of	O
crude	PROD
oil	PROD
-	O
Arabian	O
Light	PROD
Crude	PROD
(	O
ALC	O
)	O
from	O
Saudi	O
Arabia	O
and	O
Murban	PROD
Crude	PROD
from	O
Abu	O
Dhabi	O
.	O
The	PROD
crude	PROD
oil	PROD
proceed	O
in	O
the	O
Oil	REF
Refining	REF
Units	REF
comes	O
from	O
Luning	O
pipe-transferred	PROD
oil	PROD
,	O
off	PROD
shore	PROD
oil	PROD
and	O
imported	PROD
oil	PROD
.	O
It	O
mainly	O
processes	O
domestically	O
produced	O
Shengli	O
Crude	PROD
Oil	PROD
Guangzhou	O
Company	O
is	O
the	O
first	O
domestic	O
company	O
to	O
process	O
100	O
%	O
imported	O
crude	PROD
oil	PROD
.	O
Hainan	REF
Refinery	REF
mainly	O
processes	O
imported	O
crude	PROD
oil	PROD
.	O
The	O
self-equipped	O
deep	O
water	O
wharf	O
is	O
located	O
within	O
Yangpu	O
Shentou	O
port	O
area	O
.	O
There	O
are	O
five	O
berths	O
including	O
300	O
DWT	O
crude	PROD
oil	PROD
berths	O
and	O
100	O
DWT	O
oil	PROD
product	PROD
berths	O
,	O
the	O
annual	O
handling	O
capacity	O
of	O
which	O
is	O
beyond	O
25	O
million	O
tons	O
.	O
Crude	PROD
supply	O
mainly	O
includes	O
Nanyang	PROD
crude	PROD
oil	PROD
,	O
Jianghan	PROD
crude	PROD
oil	PROD
,	O
Luning	O
crude	PROD
oil	PROD
and	O
imported	PROD
crude	PROD
oil	PROD
through	O
Yi-Chang	PIPE
pipeline	PIPE
Can	O
process	O
high	O
sulfur	O
and	O
high	O
acidity	O
crude	PROD
77	O
%	O
of	O
the	PROD
crude	PROD
is	O
transported	O
through	O
pipelines	PIPE
In	O
2011	O
it	O
started	O
prosessing	O
South	O
Pars	O
Condensate	O
,	O
the	O
hydrogen	O
sulfide	O
content	O
of	O
which	O
is	O
as	O
high	O
as	O
200	O
ppm	O
Over	O
80	O
%	O
of	O
the	PROD
crude	PROD
oil	PROD
processed	O
by	O
Sinopec	O
Maoming	O
Company	O
is	O
low-grade	O
crude	PROD
with	O
high	O
contents	O
of	O
sulfur	O
and	O
residue	O
Domestic	O
crude	PROD
from	O
the	O
Shengli	O
Oilfield	OFI
Qingdao	O
Port	O
The	REF
refinery	REF
is	O
